Sex Determination,heterogametic lifespan,homogametic lifespan,lnRRlifespan,GS Fem pg,GS Male pg,GS Sex Unknown pg,GS data? Y/N,GS Female Mb,GS Male Mb
male heterogametic,5.68,8.81,0.43893621,,,1,N,,
male heterogametic,11.3,16.1,0.35401655,,,0.95,N,,
male heterogametic,4.4,10.4,0.86020127,,,,N,,
male heterogametic,10.7,16.3,0.42092137,,,,N,,
male heterogametic,22.05,22.54,0.02197891,,,,N,,
male heterogametic,32,46,0.36290549,,,,N,,
male heterogametic,49.92,41.72,-0.1794411,,,,N,,
male heterogametic,4.48,5.4,0.18677591,4.69,,,Y,4586.82,
male heterogametic,21,22,0.04652002,,,,N,,
male heterogametic,5.82,8.18,0.34039189,,,,N,,
male heterogametic,3.12,5.13,0.49727266,3.36,2.34,3.13,Y,3286.08,2288.52
male heterogametic,14,19,0.30538165,,,,N,,
male heterogametic,7.5,9.5,0.23638878,,,,N,,
male heterogametic,7.38,7.36,-0.0027137,,,,N,,
male heterogametic,5.01,7.91,0.45669187,,,,N,,
male heterogametic,15.8,17.4,0.09646027,,,,N,,
male heterogametic,2.18,4.63,0.75323199,,,3.41,N,,
male heterogametic,14.9,19.6,0.27416835,,,,N,,
male heterogametic,22,20,-0.0953102,,,,N,,
male heterogametic,46,59,0.24889605,,,,N,,
male heterogametic,22,27,0.20479441,,,,N,,
male heterogametic,36,63,0.55961579,,,,N,,
male heterogametic,60,90,0.40546511,,,,N,,
male heterogametic,57,62,0.08408312,,,,N,,
male heterogametic,19,26,0.31365756,,,,N,,
male heterogametic,39,49,0.22825865,,,,N,,
male heterogametic,9.74,12.34,0.2366049,,3.27,3.03,Y,,3198.06
male heterogametic,42,43,0.0235305,,3.27,3.03,Y,,3198.06
male heterogametic,40,32,-0.2231436,,,3.29,N,,
male heterogametic,28,17.5,-0.4700036,,,,N,,
male heterogametic,47,28,-0.5179431,,,,N,,
male heterogametic,3.66,3.29,-0.1065756,2.73,,,Y,2669.94,
male heterogametic,5.5,7.5,0.31015493,,,,N,,
,,,,,,3.27,N,,
,,,,,3.19,,Y,,3119.82
male heterogametic,4.71,7.8,0.50443583,2.95,,,Y,2885.1,
,,,,,3.83,,Y,,3745.74
male heterogametic,3.55,3.43,-0.0343873,,,,N,,
male heterogametic,5.99,6.86,0.13561603,,,,N,,
male heterogametic,20,30,0.40546511,,,,N,,
male heterogametic,19,25,0.27443685,,,,N,,
male heterogametic,15,12,-0.2231436,,,,N,,
male heterogametic,13,23,0.57054486,,,,N,,
male heterogametic,15,25,0.51082562,,,,N,,
male heterogametic,2,4.6,0.83290912,,,,N,,
male heterogametic,20,30,0.40546511,,,,N,,
male heterogametic,19,25,0.27443685,,,,N,,
,,,,,3.15,,Y,,3080.7
male heterogametic,34,35,0.02898754,,,,N,,
male heterogametic,25,31,0.21511138,,,,N,,
male heterogametic,31,46,0.39465419,,,,N,,
male heterogametic,23,26,0.12260232,,,,N,,
male heterogametic,21,25,0.17435339,,,,N,,
male heterogametic,14,14,0,,,,N,,
male heterogametic,3.12,4.18,0.29247825,,,,N,,
male heterogametic,21,19,-0.1000835,,,,N,,
male heterogametic,31,23,-0.298493,,,,N,,
male heterogametic,29,32,0.09844007,,,2.94,N,,
male heterogametic,26,32,0.20763937,,,,N,,
male heterogametic,47,50,0.0618754,,,,N,,
male heterogametic,43,40,-0.0723207,,,,N,,
male heterogametic,52,56,0.07410797,,,,N,,
male heterogametic,46,63,0.31449333,,,,N,,
male heterogametic,25,25,0,,,2.11,N,,
,,,,2.23,,,Y,2180.94,
male heterogametic,7,16,0.82667857,,,,N,,
male heterogametic,5,9,0.58778667,,,,N,,
male heterogametic,1,2,0.69314718,,,,N,,
male heterogametic,0.9,3,1.2039728,,,,N,,
male heterogametic,1.3,1.5,0.14310084,,3.49,,Y,,3413.22
male heterogametic,5,6,0.18232156,,,,N,,
male heterogametic,12,17,0.34830669,,,,N,,
male heterogametic,10,10,0,,,2.91,N,,
